time,open,close,high,low,volumefrom,volumeto
1315958400,5.8,5.619,5.847,5.325,43768.26,243197.97
1316044800,5.619,4.84,5.619,4.44,86220.92,429502.83
1316131200,4.84,4.82,4.99,4.61,31651.09,152408.87
1316217600,4.82,4.77,4.93,4.7,20303.08,97582.47
1316304000,4.77,5.2,5.6,4.721,44623.9,229468.54
1316390400,5.2,5.46,5.644,4.9,49836.79,263597.81
1316476800,5.46,6.112,6.795,5.451,116750.98,713430.51
1316563200,6.112,5.611,6.287,5.06,68164.47,383918.85
1316649600,5.611,5.428,5.83,5.29,31651.0,175258.58
1316736000,5.428,5.545,5.707,5.415,55667.98,312415.09
